,book_name,price,store,link
0, 机器学习 周志华 西瓜书 深度学习deep learning 花书 ai书 python神经网络 统计学习方法 人工智,423.8,育博彦图书专营店,http://product.dangdang.com/1604298621.html
1, 机器学习 周志华 西瓜书 深度学习deep learning 花书 ai书 python神经网络 统计学习方法 人工智,416.0,阅微阁图书专营店,http://product.dangdang.com/1665183692.html
2, 机器学习 周志华 西瓜书 深度学习deep learning 花书 ai书 python神经网络 统计学习方法 人工智,375.3,嘉辰图书专营店,http://product.dangdang.com/1769915860.html
3, 机器学习 周志华 西瓜书 深度学习deep learning 花书 ai书 python神经网络 统计学习方法 人工智,274.0,天意事成图书专营店,http://product.dangdang.com/1627535934.html
4, Python编程从入门到实践+零基础入门学习Python+Python基础教程第二版（修订版） Python编程入门书,237.5,博鸿文化图书专营店,http://product.dangdang.com/1427665587.html
5, Python编程从入门到实践+利用Python进行数据分析 [美]埃里克・马瑟斯（Eric Matthes） 9787,208.55,吉林省新华书店集团四平市图书专营店,http://product.dangdang.com/1755767264.html
6," Python编程从入门到实践+利用Python进行数据分析 ,(美)埃里克・马瑟斯,人民邮电出版社 等",208.0,辽宁电子出版社图书专营店,http://product.dangdang.com/1695676462.html
7, Python编程从入门到实践+利用Python进行数据分析 [美]埃里克・马瑟斯（Eric Matthes） 【新华品,208.0,阅山海图书专营店,http://product.dangdang.com/1680061971.html
8, TPythonJavaC语言从入门到精通三本套计算机核心编程基础教程书籍零基础自学电脑程序设计开发进阶实践教材赠视频/,194.5,艺凡图书专营店,http://product.dangdang.com/1405219788.html
9, Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes)人民邮电出版社,189.0,昊达图书专营店,http://product.dangdang.com/1772193030.html
10, Python编程系列丛书 共3册,181.4,火把图书专营店,http://product.dangdang.com/1533117957.html
11," 【新华正版】Python编程从入门到实践+利用Python进行数据分析,人民邮电出版社 等",177.85,辽宁省天缘图书专营店,http://product.dangdang.com/1686116336.html
12," 【新华正版】Python编程从入门到实践+利用Python进行数据分析,人民邮电出版社 等",176.46,易佰分图书专营店,http://product.dangdang.com/1686881376.html
13, Python编程从入门到实践+利用Python进行数据分析 人民邮电出版社 等,172.9,文轩网旗舰店,http://product.dangdang.com/1677833292.html
14, 〖新华正品〗Python编程从入门到精通+python基础教程 第3版 python基础入门2册[美]埃里克・马瑟斯（,165.01,台安县新华书店,http://product.dangdang.com/1669864568.html
15, Python编程从入门到实践+利用Python进行数据分析 [美]埃里克・马瑟斯（Eric Matthes） 著 袁国,164.6,墨渊图书专营店,http://product.dangdang.com/1723307580.html
16," 【新华正版】Python编程从入门到精通+python基础教程 第3版 python基础入门2册,人民邮电出版社",163.54,葫芦岛市新华书店,http://product.dangdang.com/1586028189.html
17," Python编程从入门到精通+python基础教程 第3版 python基础入门2册,人民邮电出版社〖新华全新正品保障",158.98,辽宁省天缘图书专营店,http://product.dangdang.com/1671801646.html
18," 【新华正版】Python编程从入门到精通+python基础教程 第3版 python基础入门2册,人民邮电出版社",157.76,易佰分图书专营店,http://product.dangdang.com/1655776446.html
19, python基础教程 零基础学python3.5编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍,138.0,嘉博致远图书专营店,http://product.dangdang.com/1324822717.html
20, 【正版包邮】随机送书签-Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 人民邮电出版,132.94,浩海图书专营店,http://product.dangdang.com/1651335667.html
21, 正版 Python编程 从入门到实践+数据结构 Python语言描述 套装2册 计算机网络 编程入门,128.0,布克图书专营店,http://product.dangdang.com/1237238521.html
22, 【共3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 python编程语言从入门,124.0,天意事成图书专营店,http://product.dangdang.com/1625230754.html
23, Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes)人民邮电出版社,115.1,中夏图书专营店,http://product.dangdang.com/1711098152.html
24, Python编程：从入门到实践 埃里克・马瑟斯(EricMatthes) 人民邮电出版社 9787115428028,104.0,里程图书专营店,http://product.dangdang.com/1647389724.html
25, Python编程从入门到实践 python编程从入门到实战零基础自学教程计算机基础小甲鱼语言数据分析程序设计patho,89.84,唐凯图书专营店,http://product.dangdang.com/1673854569.html
26, 正版 图灵程序设计丛书 Python编程 从入门到实践 （美）马瑟斯 Python编程教程 编写代码 Web应用程序,89.7,育博彦图书专营店,http://product.dangdang.com/1593176031.html
27, 【正版全新直发】Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 9787115428,88.98,建工图书专营店,http://product.dangdang.com/1607505127.html
28, Python编程从入门到实践 Python语言程序设计基础 python3数据分析实战 计算机编程入门python网络,88.0,谈笑鸿儒图书专营店,http://product.dangdang.com/1626032623.html
29, 【赠源代码】python编程 从入门到实践python基础教程数据分析python学习手册编程入门迅速掌握Python,87.0,晖文锦绣图书专营店,http://product.dangdang.com/1609473827.html
30, python基础教程 零基础学Python3.5编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍,87.0,金种子图书专营店,http://product.dangdang.com/1115808114.html
31, python编程从入门到实战 实践 python网络爬虫 python基础教程 python语言程序设计基础 pyth,86.17,书墨飘香图书专营店,http://product.dangdang.com/1737047794.html
32, Python编程从入门到实践 Python语言程序设计基础 python3数据分析实战 计算机编程入门python网络,85.0,琅琅图书专营店,http://product.dangdang.com/1562714051.html
33, python编程从入门到实践 让繁琐工作自动化 Python从入门到精通 Python编程程序设计Python编程快速,84.0,爱读者图书专营店,http://product.dangdang.com/1539768065.html
34," Python编程,[美]埃里克.马瑟斯,人民邮电出版社【新华书店 选购无忧】",81.9,北方图书城旗舰店,http://product.dangdang.com/1620801492.html
35, Python编程【新华书店 品质担当】,81.9,吉林省新华书店集团四平市图书专营店,http://product.dangdang.com/1574144544.html
36, 【新华书店】Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 人民邮电出版社 9787,81.67,辽宁出版集团图书专营店,http://product.dangdang.com/1678711470.html
37," Python编程,(美)埃里克・马瑟斯,人民邮电出版社",80.1,辽宁电子出版社图书专营店,http://product.dangdang.com/1678235312.html
38, Python编程从入门到实践python3.5绝技核心编程基础教程网络爬虫入门书籍python视频编程从入门到精通程序,80.1,晖文锦绣图书专营店,http://product.dangdang.com/1507592697.html
39, python编程从入门到实践埃里克马瑟斯著零基础Python计算机程序入门自学编程图灵程序设计丛书python编程从入,80.0,爱读者图书专营店,http://product.dangdang.com/1631624575.html
40, Python编程从入门到实践 Python语言程序设计基础 python3数据分析实战 计算机编程入门python网络,79.0,书墨飘香图书专营店,http://product.dangdang.com/1601121784.html
41," 【新华正版】Python编程,人民邮电出版社",75.82,辽宁省天缘图书专营店,http://product.dangdang.com/1670937536.html
42," 【新华正版保障】Python编程,人民邮电出版社",75.59,易佰分图书专营店,http://product.dangdang.com/1676279966.html
43, python基础教程零基础学Python3编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍赠源代码,69.8,博源图书专营店,http://product.dangdang.com/1580922328.html
44, Python编程：从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 人民邮电出版社【书籍正版 品质无忧,69.0,益生安图书专营店,http://product.dangdang.com/1748803754.html
45, Python编程 人民邮电出版社,66.8,四川新华书店教育专营店,http://product.dangdang.com/1045829666.html
46, python 基础教程零基础学Python3.5编程从入门到实践计算机程序设计pathon3核心技术网络爬虫书籍数据分,66.8,阅轩图书专营店,http://product.dangdang.com/1667970643.html
47," Python编程 从入门到实践 [美] 埃里克・马瑟斯（Eric Matthes）,袁国忠 人民邮电出版社 97871",64.0,聚赢科技图书专营店,http://product.dangdang.com/1657144159.html
48, Python编程 从入门到实践[美]埃里克・马瑟斯(Eric Matthes)人民邮电出版社,64.0,烟波古韵图书专营店,http://product.dangdang.com/1576803636.html
49, python基础教程 零基础学Python3编程从入门到实践精通计算机程序设计pathon核心技术网络爬虫书籍,61.0,天意事成图书专营店,http://product.dangdang.com/1627578274.html
50, Python编程 从入门到实践,59.7,当当自营,http://product.dangdang.com/24003310.html
51, 毫无障碍学Python编程-从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍python视频编程从入,53.16,格林美图书专营店,http://product.dangdang.com/1693253325.html
52, Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes),52.5,岚风苑图书专营店,http://product.dangdang.com/1705483628.html
53, 火热促销 Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 9787115428028,50.7,知礼图书专营店,http://product.dangdang.com/1406991878.html
54, Python编程：从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 人民邮电出版社【正版书籍 品质保证】,50.0,筋斗云图书专营店,http://product.dangdang.com/1752090654.html
55, Python编程 从入门到实践 [美]埃里克・马瑟斯(Eric Matthes) 9787115428028 人民邮电,48.0,巧思成文图书专营店,http://product.dangdang.com/1632955471.html
56, Python编程 从入门到实践,47.5,天意事成图书专营店,http://product.dangdang.com/1625218694.html
57, Python编程快速上手让繁琐工作自动化python基础教程从入门到精通word文档数据分析python3.5程序设计,45.5,万卷图书专营店,http://product.dangdang.com/1697875854.html
58, Python编程 从入门到实践 python核心编程基础教程数据分析快速上手入门学习手册网络爬虫,44.5,翰诚图书专营店,http://product.dangdang.com/1100731314.html
59, Python编程：从入门到实践,0.0,当当自营,http://product.dangdang.com/1901232070.html
